"id","city","person","party","current_office","term","election","reelection_status","topics","pledge_title","pledge_summary","pledge_date","pledge_source_type","pledge_source_title","pledge_source_url","responsibility","status","evidence_summary","evidence_source_title","evidence_source_url","last_verified","correction_log"
"taipei-chiang-2022-trendy-taipei","臺北市","蔣萬安","中國國民黨","臺北市市長","第8屆（2022–2026）","2022臺北市長選舉","具2026連任資格","流行音樂|文化節慶|文化產業","舉辦臺北國際潮流音樂節","借鏡 SXSW，整合臺北流行音樂中心、臺北表演藝術中心及臺北市文化基金會等資源，舉辦跨界大型複合式節慶展演活動。","2022-10-20","競選新聞","蔣萬安5大文化政見 推100條文化小旅行","https://election.ltn.com.tw/2022/news/breakingnews/4095611","臺北市政府文化局及相關局處、所屬機構","fulfilled","市府於2024年正式推出「潮臺北 TRENDY TAIPEI」，結合音樂展演、產業論壇、科技與城市行動；2025年續辦並串聯22家 Live House。原承諾的複合型潮流音樂節已實際舉辦並持續辦理。","臺北市政府文化局：2024 TRENDY TAIPEI潮臺北正式啟動","https://culture.gov.taipei/News_Content.aspx?n=63F36AA6E434AD08&s=7297BAEF6BEA962F&sms=78D644F2755ACCAA","2026-09-05",""
"taipei-chiang-2022-creative-investment-fund","臺北市","蔣萬安","中國國民黨","臺北市市長","第8屆（2022–2026）","2022臺北市長選舉","具2026連任資格","文化產業|投資|文創","設置文化創意產業投資基金","設置投資基金，聚焦藝文展演、文化科技、永續設計、出版發行、影視音產品及 IP 品牌等領域。","2022-10-20","競選新聞","蔣萬安5大文化政見 推100條文化小旅行","https://election.ltn.com.tw/2022/news/breakingnews/4095611","臺北市政府文化局、產業發展局及相關基金","in_progress","文化局表示自2023年起進行評估、委託研究與跨局處協調，規劃每年投入約1億元，結合既有文化設施發展基金、產業發展基金及文策院投資機制。截至查核日，市府公布的是規劃與替代合作模式，尚未提出已成立獨立基金的證據。","臺北市政府文化局：回應外界對文化政策質疑","https://www.gov.taipei/News_Content.aspx?n=F0DDAF49B89E9413&s=A7F63625FD50F4F9&sms=72544237BBE4C5F6","2026-09-05",""
"taipei-chiang-2022-culture-budget-4pct","臺北市","蔣萬安","中國國民黨","臺北市市長","第8屆（2022–2026）","2022臺北市長選舉","具2026連任資格","文化預算|文化治理","四年內將文化局及所屬機構預算提升至總預算4%","以機關別的文化局及所屬機關／機構預算占市府總預算比例為口徑，從競選時所稱2.62%逐年提升，四年內達到4%。","2022-10-20","競選新聞","蔣萬安5大文化政見 推100條文化小旅行","https://election.ltn.com.tw/2022/news/breakingnews/4095611","臺北市政府、文化局及所屬機關／機構","no_verified_progress","臺北市議會公布的115年度總預算案編製經過報告顯示，機關別的文化局主管預算為50.21億元、占2.34%，前一年度為41.82億元、占2.07%；115年度仍未達4%。政事別文化支出與機關別文化預算不能相互替代。","臺北市議會：115年度臺北市總預算案編製經過報告","https://obasfront.tcc.gov.tw/Agenda/DownloadFile.aspx?FileGrpKind=1&FileName=202500003099.pdf&FilePath=202510","2026-09-05","2026-09-05：釐清文化支出為政事別、文化預算為機關別，修正口徑說明。"
"taipei-chiang-2022-cultural-spaces","臺北市","蔣萬安","中國國民黨","臺北市市長","第8屆（2022–2026）","2022臺北市長選舉","具2026連任資格","文化場域|展演空間|法規","增加多元替代空間與藝文展演空間","盤點更多元空間，透過法規鬆綁、行政支持與政策誘因，鼓勵民間社團及企業提供藝術與展演空間，擴大文化廊帶。","2022-10-20","競選新聞","蔣萬安5大文化政見 推100條文化小旅行","https://election.ltn.com.tw/2022/news/breakingnews/4095611","臺北市政府文化局及相關局處","no_verified_progress","文化局列舉既有場館的活動與活化成果，但未提出新增替代空間數量、政策誘因、法規鬆綁內容或文化廊帶擴增成果，因此目前不足以驗證原承諾的具體進度。","臺北市政府文化局：回應外界對文化政策質疑","https://www.gov.taipei/News_Content.aspx?n=F0DDAF49B89E9413&s=A7F63625FD50F4F9&sms=72544237BBE4C5F6","2026-09-05",""
"taipei-chiang-2022-cultural-tours-100","臺北市","蔣萬安","中國國民黨","臺北市市長","第8屆（2022–2026）","2022臺北市長選舉","具2026連任資格","文化記憶|文化旅遊|社區營造","推出100條臺北文化、生態小旅行路線","結合社區營造、地方創生、城市行銷與觀光旅遊，推出100條文化、生態小旅行路線，並擴大培訓文史與生態導覽人才。","2022-10-20","競選新聞","蔣萬安5大文化政見 推100條文化小旅行","https://election.ltn.com.tw/2022/news/breakingnews/4095611","臺北市政府文化局、觀光傳播局及相關局處","partial","文化局表示已建置100處文化點，跨局處串聯37條「樂遊臺北」遊程。方向相符，但原承諾量化標的是100條路線；目前僅能確認37條。","臺北市政府文化局：回應外界對文化政策質疑","https://www.gov.taipei/News_Content.aspx?n=F0DDAF49B89E9413&s=A7F63625FD50F4F9&sms=72544237BBE4C5F6","2026-09-05",""
"taoyuan-chang-2022-cultural-tourism","桃園市","張善政","中國國民黨","桃園市市長","第3屆（2022–2026）","2022桃園市長選舉","具2026連任資格","文化旅遊|地方歷史|地方創生","推動結合地方歷史的深度文化旅遊","整合自然地景、地方歷史、運動觀光與特色產業，推動多元主題深度旅遊。","2022-11-26","選舉公報","桃園市第3屆市長選舉選舉公報","https://bulletin.cec.gov.tw/01%E9%81%B8%E8%88%89%E5%85%AC%E5%A0%B1/03%E7%9B%B4%E8%BD%84%E5%B8%82%E9%95%B7/111%E5%B9%B4/%E6%A1%83%E5%9C%92%E5%B8%82%E5%B8%82%E9%95%B7.pdf","桃園市政府文化局、觀光旅遊局及相關局處","not_assessable","公報未列路線數、預算、期程或其他完成指標，現階段只能視為施政方向，不能做二元實現判定。","","","2026-09-05",""
"taoyuan-chang-2022-multicultural-history","桃園市","張善政","中國國民黨","桃園市市長","第3屆（2022–2026）","2022桃園市長選舉","具2026連任資格","文化保存|新住民|多元文化","保存地方歷史與多族群文化","保留在地歷史文化，並保存原住民、閩南、客家、新住民等多族群的歷史文化。","2022-11-26","選舉公報","桃園市第3屆市長選舉選舉公報","https://bulletin.cec.gov.tw/01%E9%81%B8%E8%88%89%E5%85%AC%E5%A0%B1/03%E7%9B%B4%E8%BD%84%E5%B8%82%E9%95%B7/111%E5%B9%B4/%E6%A1%83%E5%9C%92%E5%B8%82%E5%B8%82%E9%95%B7.pdf","桃園市政府文化局、原住民族行政局、客家事務局及相關局處","not_assessable","承諾涵蓋多族群與多種保存方式，但沒有指定措施或成果標準，無法以單一證據判定完成。","","","2026-09-05",""
"taipei-chiang-2022-expand-arts-events","臺北市","蔣萬安","中國國民黨","臺北市市長","第8屆（2022–2026）","2022臺北市長選舉","具2026連任資格","藝文活動|文化參與","擴大舉辦藝文活動","選舉公報「重振藝文風」項下的總體方向，提出擴大舉辦藝文活動。","2022-11-26","選舉公報","臺北市第8屆市長選舉選舉公報","https://bulletin.cec.gov.tw/01%E9%81%B8%E8%88%89%E5%85%AC%E5%A0%B1/03%E7%9B%B4%E8%BD%84%E5%B8%82%E9%95%B7/111%E5%B9%B4/%E8%87%BA%E5%8C%97%E5%B8%82%E5%B8%82%E9%95%B7.pdf","臺北市政府文化局及所屬機關","not_assessable","公報未列場次、預算、期程或其他完成指標，無法就「擴大」做二元判定；個別具體措施另列於其他政見紀錄。","","","2026-09-06",""
"taipei-chiang-2022-lifelong-arts-education","臺北市","蔣萬安","中國國民黨","臺北市市長","第8屆（2022–2026）","2022臺北市長選舉","具2026連任資格","藝術教育|終身學習|高齡文化","透過社區大學與長照場域推動終身藝術教育","以社區大學及長照場域為據點，推動面向各年齡層的終身藝術教育。","2022-11-26","選舉公報","臺北市第8屆市長選舉選舉公報","https://bulletin.cec.gov.tw/01%E9%81%B8%E8%88%89%E5%85%AC%E5%A0%B1/03%E7%9B%B4%E8%BD%84%E5%B8%82%E9%95%B7/111%E5%B9%B4/%E8%87%BA%E5%8C%97%E5%B8%82%E5%B8%82%E9%95%B7.pdf","臺北市政府文化局、教育局、衛生局及所屬機關","no_verified_progress","文化局2023年12月21日公布的五大面向政策，以及2026年6月24日的施政說明，均未提及以社區大學或長照場域推動藝術教育的專案。查核日前未找到市府公開資料可佐證此項承諾的執行情形。","臺北市政府：文化局以五大面項政策推動臺北文化事務","https://www.gov.taipei/News_Content.aspx?n=F0DDAF49B89E9413&sms=72544237BBE4C5F6&s=E74F3D756A37AFB8","2026-09-06",""
"taipei-chiang-2022-venue-rental-deregulation","臺北市","蔣萬安","中國國民黨","臺北市市長","第8屆（2022–2026）","2022臺北市長選舉","具2026連任資格","藝文團體|場地租借|法規","鬆綁藝文團體租借場地法規","鬆綁藝文團體租借場地的相關規定，降低團體使用場地的門檻。","2022-11-26","選舉公報","臺北市第8屆市長選舉選舉公報","https://bulletin.cec.gov.tw/01%E9%81%B8%E8%88%89%E5%85%AC%E5%A0%B1/03%E7%9B%B4%E8%BD%84%E5%B8%82%E9%95%B7/111%E5%B9%B4/%E8%87%BA%E5%8C%97%E5%B8%82%E5%B8%82%E9%95%B7.pdf","臺北市政府文化局及所屬場館","no_verified_progress","文化局2023年12月21日新聞稿說明已提供21處工作排練空間予藝文團隊，屬空間供給而非法規調整；2026年6月24日的施政說明亦未提及租借場地相關規定的修正或簡化。查核日前未找到法規鬆綁的公開證據。","臺北市政府：文化局以五大面項政策推動臺北文化事務","https://www.gov.taipei/News_Content.aspx?n=F0DDAF49B89E9413&sms=72544237BBE4C5F6&s=E74F3D756A37AFB8","2026-09-06",""
